Titulli,Column1,Te tjere,Viti,Regjia,Aktore,Nenkategori,Shteti,Pershkrimi,Openload,Streamango,Column5,Column6,Column7,,,,,,
Serena,Serena,Serena,2014,Susanne Bier,"Bradley Cooper,Jennifer Lawrence,Rhys Ifans ","drame,romance",Amerikan,"In Depression-era North Carolina, the future of George Pemberton's timber empire becomes complicated when he marries Serena.",https://openload.co/embed/eKu0B9nsOic/Serena.mp4,https://streamango.com/embed/bnamdmmctqsanmtk/Serena_mp4,,,,,,,,,
Singing_in_the_rain,Singing in the rain,Kendim ne shi,1952,"Stanley Donen,Gene Kelly","Gene Kelly,Donald OConnor,Debbie Reynolds ","komedi,romance,muzikor",Amerikan,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until The Jazz Singer (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as Monumental's ...",https://openload.co/embed/ApKk1HCs9RM/Singing_in_the_rain.mp4,https://streamango.com/embed/qefocrenlmtpktmf/Singing_in_the_rain_mp4,,,,,,,,,
Sisters,Sisters,Motrat,2015,Jason Moore,"Amy Poehler,Tina Fey,Maya Rudolph ",komedi,Amerikan,"Sisters Kate and Maura Ellis are summoned home to clean out their childhood bedroom before their parents sell the family house, much to their dismay. Looking to recapture their glory days, they throw one final high-school-style party for their classmates, which turns into the cathartic rager that a bunch of ground-down adults really need.",https://openload.co/embed/v_q7FoTmSZc/Sisters.mp4,https://streamango.com/embed/ssarflnkqaqeqtba/Sisters_mp4,,,,,,,,,
The_Big_Sick,The Big Sick,Semundja e rende e Dashurise,2017,Michael Showalter,"Kumail Nanjiani,Zoe Kazan,Holly Hunter ","komedi,drame,romance",Amerikan,"Kumail (Kumail Nanjiani), in the middle of becoming a budding stand-up comedian, meets Emily (Zoe Kazan). Meanwhile, a sudden illness sets in forcing Emily to be put into a medically-induced coma. Kumail must navigate being a comedian, dealing with tragic illness, and placating his family's desire to let them fix him up with a spouse, while contemplating and figuring out who he really is and what he truly believes",https://openload.co/embed/NudWDgJDXbw/The_Big_Sick.mp4,https://streamango.com/embed/bmmpbtblfftspkfr/The_Big_Sick_mp4,,,,,,,,,
The_Jungle_Book,The Jungle Book,Libri i Xhungles,2016,Jon Favreau,"Neel Sethi,Bill Murray,Ben Kingsley ","aventure,drame,familjar",Amerikan,"The man-cub Mowgli flees The jungle after a threat from the Tiger Shere Khan. Guided by Bagheera the panther and the bear Baloo, Mowgli embarks on a journey of self-discovery, though he also meets creatures who don't have his best interests at heart.",https://openload.co/embed/rrdKCKZba6A/The_Jungle_Book.mp4,https://streamango.com/embed/qoqfendbkcdapcee/The_Jungle_Book_mp4,,,,,,,,,
The_last_Station,The last Station,Stacioni i fundit,2009,Michael Hoffman,"Helen Mirren,James McAvoy,Christopher Plummer ","biografi,drame,romance",Amerikan,"The Countess Sofya, wife and muse to Leo Tolstoy, uses every trick of seduction on her husband's loyal disciple, whom she believes was the person responsible for Tolstoy signing a new will that leaves his work and property to the Russian people.",https://openload.co/embed/CqZvmt8ax84/The_last_Station.mp4,https://streamango.com/embed/mcdpbqtpcnrqebff/The_last_Station_mp4,,,,,,,,,
The_last_word,The last word,Fjala e fundit,2017,Mark Pellington,"Shirley MacLaine,Amanda Seyfried,AnnJewel Lee Dixon","komedi,drame",Amerikan,"Harriet (Shirley MacLaine) is a successful, retired businesswoman who wants to control everything around her until the bitter end. To make sure her life story is told her way, she pays off her local newspaper to have her obituary written in advance under her watchful eye. But Anne (Amanda Seyfried), the young journalist assigned to the task, refuses to follow the script and instead insists on finding out the true facts about Harriett's life, resulting in a life-altering friendship",https://openload.co/embed/GKWrQRJj-c4/The_last_word.mp4,https://streamango.com/embed/ekfocmoebtafsrra/The_last_word_mp4,,,,,,,,,
The_Maze_Runer,The Maze Runer,Vrapo ose Vdis,2014,Wes Ball,"Dylan OBrien,Kaya Scodelario,Will Poulter","aksion,mister,fantashk",Amerikan,"Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive. ",https://openload.co/embed/SzC64oFQjOM/The_Maze_Runer.mp4,https://streamango.com/embed/rtoobnofndqflarp/The_Maze_Runer_mp4,,,,,,,,,
The_sea_of_Trees,The sea of Trees,Deti i Pemeve,2015,Gus Van Sant,"Matthew McConaughey,Naomi Watts,Ken Watanabe",drame,Amerikan,"Arthur Brennan treks into Aokigahara, known as The Sea of Trees, a mysterious dense forest at the base of Japan's Mount Fuji where people go to commit suicide. On his journey to the suicide forest, he encounters Takumi Nakamura, a Japanese man who has lost his way after attempting suicide. The two men begin a journey of reflection and survival, which affirms Arthur's will to live and reconnects him to his love for his wife.",https://openload.co/embed/_fCU-s1p0iA/The_sea_of_Trees.mp4,https://streamango.com/embed/nasrllomtmrpcdat/The_sea_of_Trees_mp4,,,,,,,,,
The_Shack,The Shack,Kasollja,2017,Stuart Hazeldine,"Sam Worthington,Octavia Spencer,Tim McGraw","drame,fantazi",Amerikan,"After the abduction and presumed death of Mackenzie Allen Phillips' youngest daughter, Missy, Mack receives a letter and suspects it is from God, asking him to return to The Shack where Missy may have been murdered. After contemplating it, he leaves his home to go to The Shack for the first time since Missy's abduction and an encounter that will change his life forever.",https://openload.co/embed/R4Ra-mMhXx8/The_Shack.mp4,https://streamango.com/embed/tqqmckdakrmefnbs/The_Shack_mp4,,,,,,,,,
